label,group,method,session_id,queries,speedup,baseline_ttft_ms,method_ttft_ms,warm_page_queries,fallback_queries,full_hit_queries,partial_hit_queries,registered_pages,used_pages,residual_count_mean,read_amplification_mean,batch_dir,baseline_config,method_config
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-41,193,1.6830858285452344,261.06725361950964,155.1122641470766,178,15,32,146,156,84,3.4041450777202074,5.735233160621765,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-42,260,2.107354750372064,243.05543821448316,115.336745354132,240,20,76,164,178,86,2.6769230769230767,5.198076923076924,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-43,242,1.6494831823597744,255.69799156620914,155.01703460862444,229,13,23,206,216,113,3.5454545454545454,5.898760330578514,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-44,158,1.5699235966807796,250.85403959420097,159.78741903400308,144,14,20,124,134,70,3.449367088607595,5.373417721518987,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-47,190,1.5977682503420805,250.0601301165788,156.505882541502,176,14,25,151,163,87,3.694736842105263,5.895789473684211,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-48,239,1.6431006356337738,227.94746617673582,138.73006998674327,225,14,35,190,201,104,3.1087866108786613,5.753556485355644,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-49,196,1.8164192479782262,244.4390330691727,134.571924043002,185,11,40,145,154,81,2.8316326530612246,5.764795918367344,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-50,204,1.869640489282309,261.8854755179628,140.07263803881978,190,14,37,153,162,94,2.9411764705882355,5.505882352941178,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_003_exp1_locomo_scale1_semantic_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,temporal,locomo-conv-26,199,2.0151186526941465,256.95832445047535,127.51523296503191,186,13,17,169,182,104,3.5979899497487438,3.101507537688443,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_002_exp1_locomo_scale1_temporal_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,temporal,locomo-conv-30,105,1.9440574932415025,244.6022865096373,125.82050035042423,96,9,7,89,98,57,4.171428571428572,2.2809523809523813,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_002_exp1_locomo_scale1_temporal_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,temporal,locomo-conv-41,193,1.7528940312927317,261.06725361950964,148.93498920010393,171,22,12,159,181,100,4.492227979274611,2.6103626943005174,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_002_exp1_locomo_scale1_temporal_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,temporal,locomo-conv-42,260,1.8314793990618323,243.05543821448316,132.70989471079352,229,31,29,200,231,126,4.065384615384615,2.080384615384615,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_002_exp1_locomo_scale1_temporal_qwen3_embed_4b
exp1_locomo_scale1_qwen3_embed_4b,exp1_locomo_scale1_qwen3_embed_4b,temporal,locomo-conv-43,242,1.6911287865465359,255.69799156620914,151.19959733425833,215,27,14,201,228,130,4.475206611570248,3.2020661157024795,paper_results/evaluation/exp1/autoeval/20260607_235821,config_000_exp1_locomo_scale1_baseline_qwen3_embed_4b,config_002_exp1_locomo_scale1_temporal_qwen3_embed_4b
